Item code,en,mr,Group,subvirtue_id
W015,Over laziness ,आळस,B,"67c3fc344b66c21fff706788, 67c3fc344b66c21fff706789, 67c3fc354b66c21fff70678a, 67c3fc364b66c21fff70678b, 67c3fc314b66c21fff706784, 67c3fc304b66c21fff706782, 67c3fc2d4b66c21fff70677d"
W016,Little confidence ,आत्मविश्वास नसणे,B,"67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781, 67c3fc304b66c21fff706782, 67c3fc334b66c21fff706787, 67c3fc314b66c21fff706784, 67c3fc324b66c21fff706785, 67c3fc334b66c21fff706786, 67c3fc364b66c21fff70678b, 67c3fc394b66c21fff706790, 67c3fc344b66c21fff706789, 67c3fc354b66c21fff70678a"
W017,Over-dependence,परावलंबित्व,B,"67c3fc294b66c21fff706777, 67c3fc2a4b66c21fff706778, 67c3fc274b66c21fff706773"
W018,Fear of Failure ,अपयशाची भीती,B,"67c3fc394b66c21fff706790, 67c3fc334b66c21fff706787, 67c3fc364b66c21fff70678b, 67c3fc2a4b66c21fff706778, 67c3fc304b66c21fff706782"
W019,Inability to Say and / or accept No ,नकार पचवणे / देणे याची क्षमता नसणे,B,"67c3fc394b66c21fff706791, 67c3fc3b4b66c21fff706794, 67c3fc2a4b66c21fff706778, 67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781, 67c3fc334b66c21fff706786"
W020,Being too transactional,अति व्यवहारी असणे,B,"67c3fc2a4b66c21fff706778, 67c3fc304b66c21fff706782, 67c3fc344b66c21fff706789, 67c3fc2d4b66c21fff70677d, 67c3fc294b66c21fff706776, 67c3fc3b4b66c21fff706794"
W021,Insecurities ,असुरक्षिततेची भावना,B,"67c3fc364b66c21fff70678b, 67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781, 67c3fc364b66c21fff70678c, 67c3fc2a4b66c21fff706778, 67c3fc354b66c21fff70678a, 67c3fc374b66c21fff70678e, 67c3fc3b4b66c21fff706795, 67c3fc3b4b66c21fff706794, 67c3fc2c4b66c21fff70677c, 67c3fc2d4b66c21fff70677d"
W022,Not being aware of social debt,समाजऋणांची जाणीव नसणे ,B,"67c3fc384b66c21fff70678f, 67c3fc374b66c21fff70678e, 67c3fc344b66c21fff706789, 67c3fc2d4b66c21fff70677d"
W023,Comforting in continuation of old,जुने चालू ठेवण्यात समाधानी असणे,B,"67c3fc324b66c21fff706785, 67c3fc314b66c21fff706783, 67c3fc334b66c21fff706787, 67c3fc3b4b66c21fff706794"
W024,Ineffectiveness ,अकार्यक्षमता,C,"67c3fc354b66c21fff70678a, 67c3fc304b66c21fff706782, 67c3fc314b66c21fff706783, 67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781, 67c3fc394b66c21fff706790"
W025,Less sustenance of enthusiasm ,उत्साह न टिकणे,C,"67c3fc334b66c21fff706786, 67c3fc314b66c21fff706783, 67c3fc2d4b66c21fff70677d"
W026,Patchy emotion-management ,भावनिक कुव्यवस्थापन,C,67c3fc2a4b66c21fff706778
W027,Impatience ,संयम नसणे,C,"67c3fc2a4b66c21fff706779, 67c3fc2d4b66c21fff70677d, 67c3fc274b66c21fff706773, 67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781, 67c3fc3b4b66c21fff706794, 67c3fc2a4b66c21fff706778"
W028,Tendency to avoid conflict,संघर्ष टाळण्याची वृत्ती,C,"67c3fc344b66c21fff706788, 67c3fc394b66c21fff706790, 67c3fc334b66c21fff706787, 67c3fc344b66c21fff706789, 67c3fc354b66c21fff70678a, 67c3fc374b66c21fff70678e"
W029,self centredness,आत्मकेंद्रितता,C,"67c3fc374b66c21fff70678e, 67c3fc384b66c21fff70678f, 67c3fc2d4b66c21fff70677e, 67c3fc274b66c21fff706773, 67c3fc2a4b66c21fff706778"
W030,Inability to differentiate between weakness of a person and the person herself,दुर्गुण आणि व्यक्तींमध्ये फरक न करता येणे ,C,"67c3fc2d4b66c21fff70677e, 67c3fc2c4b66c21fff70677c, 67c3fc274b66c21fff706773"
W031,Imbalance in employing strengths,स्वत:चे गुण समतोलपणे वापरता न येणे ,C,"67c3fc314b66c21fff706784, 67c3fc2a4b66c21fff706778, 67c3fc2b4b66c21fff70677a, 67c3fc394b66c21fff706791, 67c3fc3a4b66c21fff706793, 67c3fc2f4b66c21fff706780, 67c3fc2f4b66c21fff706781"
W032,Indecisiveness,निर्णयअक्षमता,C,"67c3fc314b66c21fff706783, 67c3fc2d4b66c21fff70677d, 67c3fc274b66c21fff706773, 67c3fc304b66c21fff706782, 67c3fc364b66c21fff70678b, 67c3fc394b66c21fff706790, 67c3fc2a4b66c21fff706778, 67c3fc2a4b66c21fff706779, 67c3fc314b66c21fff706784"
W033,Defeated mindset,पराभूत मानसिकता,C,"67c3fc314b66c21fff706783, 67c3fc394b66c21fff706790, 67c3fc334b66c21fff706787, 67c3fc334b66c21fff706786, 67c3fc2a4b66c21fff706778, 67c3fc354b66c21fff70678a, 67c3fc374b66c21fff70678d"
W034,Unappreciative nature,इतरांचे गुण स्वीकारता न येणे,C,"67c3fc2a4b66c21fff706778, 67c3fc3a4b66c21fff706792, 67c3fc334b66c21fff706786, 67c3fc2e4b66c21fff70677f, 67c3fc3b4b66c21fff706794"
W035,Little Self-reflection,"स्वत:मध्ये डोकवायला न जमणे, उपासना न जमणे",C,"67c3fc394b66c21fff706791, 67c3fc3a4b66c21fff706793, 67c3fc3b4b66c21fff706795"
